price,bedrooms,bathrooms,area_sqm,subcity_addis ketema,subcity_akaky kaliti,subcity_arada,subcity_bole,subcity_gulele,subcity_kirkos,subcity_kolfe,subcity_lidetta,subcity_nifas silk,subcity_yeka
26500.0,2,2,92.4,0,0,0,0,0,0,1,0,0,0
62000.0,5,3,147.4,0,0,0,0,0,1,0,0,0,0
17500.0,1,1,56.0,0,0,0,0,0,0,0,1,0,0
34500.0,3,1,111.1,0,0,0,0,1,0,0,0,0,0
47500.0,5,3,160.4,1,0,0,0,0,0,0,0,0,0
26000.0,2,1,74.6,0,0,0,0,0,0,1,0,0,0
43000.0,4,3,134.4,0,0,0,0,0,0,1,0,0,0
25000.0,1,1,57.7,0,0,0,1,0,0,0,0,0,0
21500.0,1,1,60.8,0,0,1,0,0,0,0,0,0,0
30000.0,2,1,76.9,0,0,0,0,0,1,0,0,0,0
48000.0,4,2,152.7,0,0,0,0,0,0,0,0,1,0
44000.0,3,2,124.6,0,0,0,0,0,0,1,0,0,0
36500.0,2,1,90.3,0,0,0,0,0,1,0,0,0,0
20500.0,1,1,63.7,0,0,0,0,0,0,0,0,0,1
35500.0,2,2,96.1,0,0,1,0,0,0,0,0,0,0
34500.0,1,1,77.6,0,0,0,1,0,0,0,0,0,0
20500.0,1,1,54.0,0,0,0,0,0,0,1,0,0,0
44000.0,4,2,129.1,0,0,0,0,0,0,0,0,1,0
17000.0,1,1,42.1,0,0,0,0,0,0,1,0,0,0
32500.0,1,1,77.5,0,0,0,0,0,1,0,0,0,0
24000.0,2,1,87.0,0,1,0,0,0,0,0,0,0,0
31000.0,3,2,82.5,0,0,0,0,0,0,1,0,0,0
22500.0,1,1,71.3,0,0,0,0,0,0,0,0,0,1
31000.0,2,2,75.2,0,0,1,0,0,0,0,0,0,0
58000.0,4,2,137.5,0,0,0,1,0,0,0,0,0,0
34000.0,3,2,102.1,0,0,0,0,1,0,0,0,0,0
29500.0,3,2,100.2,1,0,0,0,0,0,0,0,0,0
33500.0,2,1,87.5,0,0,0,0,0,1,0,0,0,0
39500.0,2,2,81.1,0,0,0,0,0,1,0,0,0,0
19500.0,1,1,60.0,0,0,0,0,0,0,0,0,0,1
65500.0,4,2,134.1,0,0,0,1,0,0,0,0,0,0
30000.0,2,1,97.9,0,0,0,0,1,0,0,0,0,0
26000.0,2,1,53.1,0,0,0,0,0,1,0,0,0,0
43000.0,4,2,124.6,0,0,0,0,0,0,0,1,0,0
40000.0,4,3,122.6,0,0,0,0,1,0,0,0,0,0
21000.0,1,1,65.8,0,0,0,0,0,0,0,0,0,1
38000.0,3,2,114.7,0,0,0,0,0,0,0,1,0,0
23000.0,1,1,77.5,0,0,0,0,0,0,1,0,0,0
42000.0,3,3,99.5,0,0,0,0,0,1,0,0,0,0
33000.0,2,1,93.0,0,0,0,0,0,0,0,0,0,1
35500.0,2,2,88.3,0,0,0,0,1,0,0,0,0,0
46500.0,3,2,87.5,0,0,0,1,0,0,0,0,0,0
39500.0,2,1,108.8,0,0,0,0,0,0,0,0,0,1
29000.0,2,1,68.7,0,0,0,1,0,0,0,0,0,0
50000.0,5,3,156.7,0,0,0,0,1,0,0,0,0,0
18500.0,1,1,67.3,0,0,0,0,1,0,0,0,0,0
24500.0,2,1,80.1,0,0,0,0,0,0,1,0,0,0
36000.0,2,2,85.2,0,0,0,1,0,0,0,0,0,0
45000.0,3,2,101.2,0,0,0,1,0,0,0,0,0,0
25000.0,1,2,55.9,0,0,0,0,1,0,0,0,0,0
24000.0,1,1,69.1,0,0,1,0,0,0,0,0,0,0
34500.0,3,1,103.9,0,0,0,0,0,0,1,0,0,0
47500.0,4,3,139.4,0,0,0,0,0,0,0,0,1,0
34500.0,2,2,86.6,0,0,1,0,0,0,0,0,0,0
24000.0,1,1,55.6,0,0,0,0,0,1,0,0,0,0
27000.0,1,1,69.1,0,0,0,0,0,0,0,0,0,1
64500.0,4,2,132.8,0,0,0,0,0,1,0,0,0,0
42500.0,5,3,132.9,0,0,0,0,0,0,0,1,0,0
45500.0,2,2,91.1,0,0,0,1,0,0,0,0,0,0
57500.0,5,3,155.6,0,0,0,0,0,0,0,0,0,1
45500.0,4,3,139.4,0,0,0,0,1,0,0,0,0,0
33000.0,2,1,70.7,0,0,1,0,0,0,0,0,0,0
37500.0,4,2,113.1,0,0,0,0,0,0,1,0,0,0
55000.0,5,3,172.1,0,0,0,0,1,0,0,0,0,0
40000.0,4,2,125.0,0,0,0,0,0,0,1,0,0,0
33500.0,2,1,96.6,0,0,0,0,1,0,0,0,0,0
66000.0,5,3,142.7,0,0,1,0,0,0,0,0,0,0
81500.0,5,3,165.1,0,0,0,1,0,0,0,0,0,0
67500.0,5,3,147.2,0,0,1,0,0,0,0,0,0,0
21000.0,1,1,58.9,0,0,0,0,1,0,0,0,0,0
49500.0,3,2,106.6,0,0,0,0,0,1,0,0,0,0
43500.0,3,1,117.9,0,0,0,0,0,0,0,0,1,0
36500.0,3,2,85.4,0,0,0,0,0,1,0,0,0,0
31500.0,1,1,77.9,0,0,0,1,0,0,0,0,0,0
61500.0,4,3,139.8,0,0,0,1,0,0,0,0,0,0
30500.0,2,1,101.0,1,0,0,0,0,0,0,0,0,0
17000.0,1,1,63.4,0,1,0,0,0,0,0,0,0,0
51500.0,5,3,164.2,0,0,0,0,1,0,0,0,0,0
24000.0,1,1,72.6,1,0,0,0,0,0,0,0,0,0
18000.0,1,1,54.7,0,0,0,0,0,0,1,0,0,0
34000.0,3,1,88.2,0,0,0,0,1,0,0,0,0,0
19500.0,1,1,50.5,0,0,0,0,0,1,0,0,0,0
55000.0,5,3,152.1,0,0,0,0,0,0,0,0,0,1
27000.0,2,1,90.5,0,1,0,0,0,0,0,0,0,0
18000.0,1,1,42.3,0,0,1,0,0,0,0,0,0,0
30500.0,1,1,80.5,0,0,0,0,0,0,0,0,0,1
38000.0,2,1,73.4,0,0,0,1,0,0,0,0,0,0
38500.0,3,2,108.0,0,0,0,0,0,0,0,1,0,0
21500.0,1,1,76.2,0,0,0,0,0,0,1,0,0,0
35500.0,2,1,87.8,0,0,0,0,0,1,0,0,0,0
78000.0,5,3,151.8,0,0,0,1,0,0,0,0,0,0
32000.0,2,1,82.7,0,0,0,0,0,1,0,0,0,0
56500.0,4,2,125.3,0,0,0,1,0,0,0,0,0,0
41500.0,3,2,108.9,0,0,1,0,0,0,0,0,0,0
24000.0,1,1,64.4,0,0,0,0,0,1,0,0,0,0
49000.0,3,2,117.6,0,0,0,1,0,0,0,0,0,0
38500.0,3,3,96.3,0,0,0,0,0,0,0,0,1,0
51500.0,5,3,148.5,0,1,0,0,0,0,0,0,0,0
35500.0,3,2,82.6,0,0,0,0,0,1,0,0,0,0
55500.0,5,3,162.7,0,0,0,0,0,0,0,0,1,0
63500.0,5,3,143.9,0,0,0,1,0,0,0,0,0,0
49000.0,5,3,166.6,1,0,0,0,0,0,0,0,0,0
32500.0,2,2,80.3,0,0,1,0,0,0,0,0,0,0
47000.0,5,3,151.4,0,0,0,0,0,0,1,0,0,0
52500.0,3,1,131.0,0,0,0,1,0,0,0,0,0,0
50500.0,4,3,126.7,0,0,1,0,0,0,0,0,0,0
64500.0,5,3,166.9,0,0,1,0,0,0,0,0,0,0
23000.0,1,1,64.8,0,0,1,0,0,0,0,0,0,0
41000.0,2,1,96.2,0,0,0,0,0,0,0,0,0,1
47000.0,3,2,99.8,0,0,0,0,0,1,0,0,0,0
56500.0,5,3,140.2,0,0,1,0,0,0,0,0,0,0
61000.0,5,3,144.3,0,0,0,0,0,1,0,0,0,0
42500.0,2,1,87.2,0,0,0,1,0,0,0,0,0,0
23500.0,2,1,83.4,0,0,0,0,0,0,1,0,0,0
33500.0,3,2,116.5,0,1,0,0,0,0,0,0,0,0
71500.0,5,3,167.7,0,0,0,1,0,0,0,0,0,0
67500.0,5,3,140.3,0,0,1,0,0,0,0,0,0,0
36500.0,2,1,77.2,0,0,0,1,0,0,0,0,0,0
